Caption	Description	Identifying Number	Install Date	Install Location	Install State	Name	Package Cache	SKU Number	Vendor	Version
McAfee VirusScan Enterprise	McAfee VirusScan Enterprise	{CE15D1B6-19B6-4D4D-8F43-CF5D2C3356FF}	C:\Program Files (x86)\McAfee\VirusScan Enterprise\	5	McAfee VirusScan Enterprise	C:\Windows\Installer\104879.msi		McAfee, Inc.	8.8.02004
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	{9BE518E6-ECC6-35A9-88E4-87755C07200F}		5	Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161	c:\Windows\Installer\5578a.msi		Microsoft Corporation	9.0.30729.6161
MSXML 4.0 SP2 (KB973688)	MSXML 4.0 SP2 (KB973688)	{F662A8E6-F4DC-41A2-901E-8C11F044BDEC}		5	MSXML 4.0 SP2 (KB973688)	c:\Windows\Installer\46887.msi		Microsoft Corporation	4.20.9876.0
Sonic CinePlayer Decoder Pack	Sonic CinePlayer Decoder Pack	{8D337F77-BE7F-41A2-A7CB-D5A63FD7049B}	C:\Program Files (x86)\Common Files\Sonic Shared\	5	Sonic CinePlayer Decoder Pack	C:\Windows\Installer\3353ee.msi		Sonic Solutions	4.2.0
tools-winPre2k	tools-winPre2k	{AE0F62A7-A1A2-407F-9F4C-48939BD9AD8D}		5	tools-winPre2k	C:\Windows\Installer\4a04a7.msi		VMware, Inc.	8.8.4.744019
tools-netware	tools-netware	{197597A7-AD33-4898-9D8E-73066818B464}		5	tools-netware	C:\Windows\Installer\4a0495.msi		VMware, Inc.	8.8.4.744019
Roxio Creator Audio	Roxio Creator Audio	{83FFCFC7-88C6-41C6-8752-958A45325C82}	C:\Program Files (x86)\Common Files\Roxio Shared\9.0\Roxio Central33\Audio\	5	Roxio Creator Audio	C:\Windows\Installer\335330.msi		Roxio	3.5.0
Microsoft SQL Server Browser	Microsoft SQL Server Browser	{BF9BF038-FE03-429D-9B26-2FA0FD756052}		5	Microsoft SQL Server Browser	c:\Windows\Installer\c172f77.msi		Microsoft Corporation	10.51.2500.0
Microsoft SQL Server 2008 R2 Setup (English)	Microsoft SQL Server 2008 R2 Setup (English)	{01078B88-2981-4F75-96B0-8B22E2D2DE03}		5	Microsoft SQL Server 2008 R2 Setup (English)	c:\Windows\Installer\c172f15.msi		Microsoft Corporation	10.51.2500.0
SQL Server 2008 R2 SP1 Database Engine Services	SQL Server 2008 R2 SP1 Database Engine Services	{FA7394B8-CE65-4F9E-AC99-F372AD365424}		5	SQL Server 2008 R2 SP1 Database Engine Services	c:\Windows\Installer\c172f8d.msi		Microsoft Corporation	10.51.2500.0
